ip_proto,port_src,port_dst,size_pkt1,size_pkt2,size_pkt3,size_pkt4,size_pkt5,size_pkt6,size_pkt7,tot_size,Elephant
17,7000,7001,190,1486,1486,1486,1486,1486,1486,113313388,1
17,7000,7001,190,1486,1486,1486,1349,190,1486,111735482,1
17,7001,7000,108,108,108,108,107,107,107,79971049,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,78767438,1
17,7001,7000,86,107,102,108,108,107,86,7916152,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,105798960,1
17,7001,7000,102,108,108,109,109,111,108,44477795,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,43834968,1
17,7001,7000,108,108,108,108,108,108,108,86485554,1
17,7001,7000,86,107,86,107,86,107,86,97401993,1
17,7001,7000,86,108,108,108,107,109,109,7599501,1
17,7001,7000,86,107,102,108,108,108,108,7675753,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,76392015,1
17,7000,7001,94,108,107,107,107,107,107,76023976,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,100123709,1
17,7001,7000,102,107,94,107,102,107,94,77712538,1
17,7001,7000,102,108,108,109,109,111,108,37061653,1
17,7001,7000,86,107,102,108,108,109,109,7445398,1
17,7000,7001,70,70,70,70,70,70,70,98237755,1
17,7001,7000,86,107,86,107,86,107,86,7247660,1
17,7001,7000,112,111,109,111,113,108,110,7146205,1
17,7001,7000,118,107,110,107,94,107,142,11728591,1
17,7001,7000,102,108,108,109,109,107,108,35187554,1
17,7001,7000,86,107,102,108,108,108,108,6913927,1
17,7001,7000,286,107,107,286,107,286,107,6916175,1
17,7001,7000,86,107,102,108,108,108,108,11400853,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,91455260,1
17,7001,7000,86,365,510,107,86,107,86,83192416,1
17,7001,7000,86,365,510,107,102,108,108,84765287,1
17,7001,7000,107,107,102,108,108,108,108,6720509,1
17,7000,7001,108,74,107,190,190,190,190,13108192,1
17,7000,7001,190,214,190,218,190,1486,830,88052648,1
17,7000,7001,190,190,190,94,108,107,107,6648254,1
17,7001,7000,86,107,102,108,108,109,107,6570033,1
17,7000,7001,108,190,190,190,1486,830,190,85594123,1
17,7001,7000,102,108,108,109,109,107,108,33762803,1
17,7001,7000,70,86,108,109,107,107,107,77488839,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,63292046,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,78710762,1
17,7000,7001,190,1486,1486,1486,1486,1486,540,83166386,1
17,7001,7000,108,107,86,107,102,108,108,5879746,1
17,7000,7001,190,1486,1486,1486,370,190,1486,81231088,1
17,7001,7000,86,107,102,108,108,108,108,6033408,1
17,7001,7000,86,381,510,107,102,108,108,5483950,1
17,7000,7001,108,190,1486,1486,1486,1486,1486,79416154,1
17,7001,7000,286,107,107,190,238,107,274,5907089,1
17,7000,7001,86,190,190,190,190,190,190,33011028,1
17,7000,7001,108,190,229,190,208,190,212,75553737,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,31808746,1
17,7001,7000,70,86,365,510,107,102,70,71563115,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,72768045,1
17,7001,7000,70,86,365,510,107,102,108,71368489,1
17,7001,7000,70,86,365,510,107,102,108,70891422,1
17,7000,7001,94,108,107,107,107,107,107,58326814,1
17,7001,7000,86,365,510,107,86,107,86,70452746,1
17,7001,7000,86,107,102,108,108,108,108,5712767,1
17,7001,7000,70,86,365,510,107,102,108,69552596,1
17,7000,7001,70,70,70,70,190,190,215,75301330,1
17,7001,7000,86,107,86,107,86,107,86,5365941,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,38009950,1
17,7000,7001,94,108,107,107,107,107,107,5796159,1
17,7001,7000,102,107,94,107,102,107,94,55703664,1
17,7001,7000,70,86,365,510,107,102,108,62946796,1
17,7001,7000,86,107,86,107,86,107,86,66113926,1
17,7001,7000,86,107,102,108,108,109,109,5048894,1
17,7001,7000,86,107,102,108,108,108,108,4841937,1
17,7001,7000,1486,1486,1486,1486,1486,1486,1486,61202917,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,25851875,1
17,7000,7001,102,102,102,102,102,294,108,20747757,1
17,7000,7001,286,178,178,262,108,107,107,49496892,1
17,7000,7001,94,108,107,107,107,107,107,48770441,1
17,7000,7001,94,108,107,107,107,107,107,41112464,1
17,7000,7001,190,190,190,190,1486,1486,1462,15152461,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,62805463,1
17,7000,7001,70,70,70,70,70,190,215,61750313,1
17,7001,7000,86,107,102,108,108,108,107,4597409,1
17,7001,7000,118,107,110,107,94,107,142,8720305,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,59982444,1
